Catholic Newman Center,,38.035865,-84.500431,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+A002
Center for Robotics and Manufacturing Systems,RMB,38.037004,-84.505563,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0108
Student Center - Center Theater,SC,38.040189,-84.50363,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0030
Charles E. Barnhart Building,CEBA,38.026778,-84.50963,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0276
Charles T. Wethington Jr. Building,CTW,38.032051,-84.508537,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0200
Chemistry-Physics Building,CP,38.035625,-84.504018,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0055
Chief Engineer House,ER,38.037135,-84.501159,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0021
Child Development Centers of the Bluegrass,CDCB,38.019118,-84.508295,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+9813
College Building,MAIN,38.03891,-84.504899,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0032
College of Medicine Building,,38.033336,-84.510462,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+9983
College of Medicine Learning Center,,38.033231,-84.509971,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0517
College of Medicine Office Building,COMB,38.030127,-84.5053,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0086
College of Nursing Building,CN,38.032641,-84.507785,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0232
College of Pharmacy Building,BPC,38.033179,-84.507103,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0596
College of Public Health Building,,38.035571,-84.50705,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0003
Commerce Building,BE,38.03779,-84.506445,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0034
Commonwealth Stadium,,38.022233,-84.50563,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0222
Complex Commons Building,CC,38.028797,-84.502546,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0147
Concert Hall,SCFA,38.037758,-84.501121,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0241
Cooper Building,TPC,38.032798,-84.505863,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0073
Cooper House,CH,38.027193,-84.510398,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0094
CRMS Building,RMB,38.037004,-84.505563,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0108
